"","geoid","year","sex","race","percent_high_speed_internet","percent_regular_internet"
"1","01073",2013,"female","black",46.6761127097971,15.1097737331834
"2","01073",2013,"female","hispanic",36.8681109844166,30.2546560243253
"3","01073",2013,"female","other",84.7428288822948,11.4737883283877
"4","01073",2013,"female","total",56.481225401553,13.5396943587562
"5","01073",2013,"female","white",65.7184924333268,11.3674655818825
"6","01073",2013,"male","black",45.6338552327281,11.1698875568197
"7","01073",2013,"male","hispanic",42.4988168480833,10.0567912920019
"8","01073",2013,"male","other",80.7703281027104,0
"9","01073",2013,"male","total",63.4047635413803,10.2926519109156
"10","01073",2013,"male","white",73.2029732240899,10.3499732522454
"11","01073",2013,"total","black",46.306491449688,13.7125511416128
"12","01073",2013,"total","hispanic",40.3383403820913,17.8066209712702
"13","01073",2013,"total","other",82.8983971386939,6.14650947145317
"14","01073",2013,"total","total",59.6117312033069,12.0715309694288
"15","01073",2013,"total","white",69.6015776211518,10.8395719972246
"16","01073",2014,"female","black",56.5618454865495,15.5880037432599
"17","01073",2014,"female","hispanic",37.5606117120477,0
"18","01073",2014,"female","other",57.972972972973,3.64864864864865
"19","01073",2014,"female","total",58.888730993321,13.5903083700441
"20","01073",2014,"female","white",62.0835669391248,12.57782761368
"21","01073",2014,"male","black",53.6675789997512,13.7123662602637
"22","01073",2014,"male","hispanic",62.9679922405432,12.3375363724539
"23","01073",2014,"male","other",65.2036718301779,8.97877223178428
"24","01073",2014,"male","total",65.6268815519246,12.378446590731
"25","01073",2014,"male","white",72.4741755510136,11.8046732585759
"26","01073",2014,"total","black",55.4799043818772,14.8868487875659
"27","01073",2014,"total","hispanic",54.2751403777437,8.11638591117917
"28","01073",2014,"total","other",61.8833385044989,6.53118212845175
"29","01073",2014,"total","total",62.0070767950592,13.0294713779138
"30","01073",2014,"total","white",67.4506027534061,12.1784720736144
"31","01073",2015,"female","black",50.9778570164813,16.3207534330471
"32","01073",2015,"female","hispanic",48.7068965517241,26.4162561576355
"33","01073",2015,"female","other",59.6277738010021,33.965640658554
"34","01073",2015,"female","total",59.318007078984,15.3084760789909
"35","01073",2015,"female","white",68.7827185751249,13.1340634213852
